species,MAP
Portulaca_amilis,20.36327292
Portulaca_australis,25.16515026
Portulaca_bicolor,25.01982245
Portulaca_confertifolia,16.23837925
Portulaca_cryptopetala,21.00674637
Portulaca_decipiens,26.26620746
Portulaca_digyna,26.74948541
Portulaca_elatior,24.7881783
Portulaca_eruca,17.0405835
Portulaca_filifolia,24.7224117
Portulaca_fluvialis,21.84175666
Portulaca_foliosa,26.83730214
Portulaca_halimoides,21.87580975
Portulaca_hereroensis,19.74339633
Portulaca_intraterranea,23.69877773
Portulaca_mexicana,19.23209569
Portulaca_mucronulata,23.49421491
Portulaca_obtusa,16.51840069
Portulaca_oligosperma,26.61451916
Portulaca_perennis,9.92296894
Portulaca_pusilla,25.08596574
Portulaca_quadrifida,21.67399173
Portulaca_rubricaulis,26.0722236
Portulaca_suffrutescens,17.64311629
Portulaca_umbraticola,21.95574463
Portulaca_wightiana,21.89971068
