species,decimalLongitude,decimalLatitude,countryCode,individualCount,gbifID,family,genus,taxonRank,scientificName,coordinateUncertaintyInMeters,year,basisOfRecord,institutionCode,collectionCode,occurrenceID,clade,CHELSA_BIOL_01,CHELSA_BIOL_02,CHELSA_BIOL_03,CHELSA_BIOL_04,CHELSA_BIOL_05,CHELSA_BIOL_06,CHELSA_BIOL_07,CHELSA_BIOL_08,CHELSA_BIOL_09,CHELSA_BIOL_10,CHELSA_BIOL_11,CHELSA_BIOL_12,CHELSA_BIOL_13,CHELSA_BIOL_14,CHELSA_BIOL_15,CHELSA_BIOL_16,CHELSA_BIOL_17,CHELSA_BIOL_18,CHELSA_BIOL_19
Portulaca bicolor,151.000573,-29.968086,AUS,NA,1073840789,Portulacaceae,Portulaca,SPECIES,Portulaca bicolor F.Muell.,10,2003,PRESERVED_SPECIMEN,NSW Dept of Planning,BioNet Atlas of NSW Wildlife,NA,Portulaca,159.450104,94.617249,408.968353,4861.968262,268.450104,37.035694,231.414413,220.450104,132.593918,220.450104,88.035698,781.719849,98.310684,39.824795,29.143543,290.134888,135.23114,290.134888,149.785065
Portulaca bicolor,150.923893,-29.942868,AUS,NA,1451615723,Portulacaceae,Portulaca,SPECIES,Portulaca bicolor F.Muell.,1000,2001,PRESERVED_SPECIMEN,NSW Dept of Planning,BioNet Atlas of NSW Wildlife,NA,Portulaca,165.588028,95.616013,409,4919.091309,275.117615,41.745071,233.372528,227.588028,110.117607,227.588028,92.974556,798.721191,110.824577,40.02544,32.397976,316.977875,127.558197,316.977875,140.076324
Portulaca bicolor,151.220572,-29.952892,AUS,NA,1073843945,Portulacaceae,Portulaca,SPECIES,Portulaca bicolor F.Muell.,10,2004,PRESERVED_SPECIMEN,NSW Dept of Planning,BioNet Atlas of NSW Wildlife,NA,Portulaca,152.847351,92,410,4724.094727,258.026611,33.014534,225.002472,212.014542,99.844879,212.014542,82.844879,740.564209,96.167191,38.169655,28.842413,278.501556,131.131912,278.501556,139.933197
Portulaca bicolor,151.266555,-29.552821,AUS,NA,1073846677,Portulacaceae,Portulaca,SPECIES,Portulaca bicolor F.Muell.,10,2004,PRESERVED_SPECIMEN,NSW Dept of Planning,BioNet Atlas of NSW Wildlife,NA,Portulaca,168.178177,94,414,4725.519531,273.591888,46.591904,227,227.178177,114.591904,227.178177,97.591904,671.332153,89.771393,30.089699,35.140224,268.130371,101.587494,268.130371,107.441643
Calandrinia L.,120.9567,-31.1511,AUS,NA,2830763846,Montiaceae,Calandrinia,GENUS,Calandrinia Kunth,1000,1999,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,186.123413,104,408,5280.833496,319,64,255,128,176,256,112,293.246826,36.679188,14,27.876585,106.358376,50,62,94.037567
Calandrinia L.,117.0833,-30.85,AUS,NA,2830735437,Montiaceae,Calandrinia,GENUS,Calandrinia Kunth,1000,1992,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,185.735031,104,401,5393.602051,326,66.235458,260,115,231,261,115,340.387604,62.247845,10.264966,62.705528,177.273468,31.529932,43.290585,177.273468
Calandrinia L.,120.9567,-31.1511,AUS,NA,2830696511,Montiaceae,Calandrinia,GENUS,Calandrinia Kunth,1000,1999,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,186.123413,104,408,5280.833496,319,64,255,128,176,256,112,293.246826,36.679188,14,27.876585,106.358376,50,62,94.037567
Calandrinia L.,120.6456,-32.4369,AUS,NA,2830669413,Montiaceae,Calandrinia,GENUS,Calandrinia Kunth,1000,1999,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,174.1754,98,426,4491.180664,298.175415,67.1856,231,127.0877,212.1754,235.087708,112.086708,316.413422,38.734909,15,27.921503,112.293427,50.912296,60.725704,110.204727
Calandrinia L.,116.6667,-29.1833,AUS,NA,2830663362,Montiaceae,Calandrinia,GENUS,Calandrinia Kunth,1000,1992,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,205.479309,111,399,5853.624023,350.750488,73.479301,278,145.479309,223.000107,286.479309,126.479301,317.333679,47.999886,11,48.479191,138.270844,33,61.542366,133.999664
Calandrinia L.,114.45,-27.55,AUS,NA,2830608571,Montiaceae,Calandrinia,GENUS,Calandrinia Kunth,NULL,1988,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,217.982635,87,397.033508,4263.948242,331.982635,113.216156,218.766464,159.216156,245.216156,278.216156,159.216156,276.248993,60.233418,4,82.716835,169.199585,13,33.249554,169.199585
