"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","genus","taxonRank","scientificName","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","collectionCode","occurrenceID","clade","CHELSA_BIOL_01","CHELSA_BIOL_02","CHELSA_BIOL_03","CHELSA_BIOL_04","CHELSA_BIOL_05","CHELSA_BIOL_06","CHELSA_BIOL_07","CHELSA_BIOL_08","CHELSA_BIOL_09","CHELSA_BIOL_10","CHELSA_BIOL_11","CHELSA_BIOL_12","CHELSA_BIOL_13","CHELSA_BIOL_14","CHELSA_BIOL_15","CHELSA_BIOL_16","CHELSA_BIOL_17","CHELSA_BIOL_18","CHELSA_BIOL_19","MAT","BasisOfRecord"
"Portulaca L.",138.6011,-34.932059,"AUS","NA","2435087585","Portulacaceae","Portulaca","GENUS","Portulaca L.","1000",1947,"PRESERVED_SPECIMEN","AD","AD","NA","Portulaca",160.116028,61,367.31842,3500.573975,253.214355,86.565544,166.883972,113,210.330383,210.330383,113,588.42572,82.297638,19,46.648819,241.244095,59,59,241.244095,16.0116028,NA
"Portulaca L.",138.6011,-34.932059,"AUS","NA","2827770065","Portulacaceae","Portulaca","GENUS","Portulaca L.","1000",1947,"PRESERVED_SPECIMEN","AD","AD","NA","Portulaca",160.116028,61,367.31842,3500.573975,253.214355,86.565544,166.883972,113,210.330383,210.330383,113,588.42572,82.297638,19,46.648819,241.244095,59,59,241.244095,16.0116028,NA
"Portulaca L.",138.6011,-34.932059,"AUS","NA","NULL","Portulacaceae","Portulaca","genus","Portulaca","1000",1947,"PreservedSpecimen","AD","AD","AD:AD:AD 97413364","Portulaca",160.116043,61,367.31839,3500.57373,253.214355,86.565567,166.883957,113,210.330383,210.330383,113,588.425415,82.297562,19,46.648781,241.243912,59,59,241.243912,16.0116043,NA
"Portulaca L.",20.375,-34.375,"ZAF","NA","462186550","Portulacaceae","Portulaca","GENUS","Portulaca L.","NULL",1968,"PRESERVED_SPECIMEN","SANBI","PRECIS","NA","Portulaca",173.233688,63.516693,412.999939,2972.916992,249.716934,96.449989,153.516693,133.96669,210.233688,214.233688,133.467239,445.243988,53.249546,23.799765,25.182913,147.397598,73.3993,83.899788,125.130737,17.3233688,NA
"Portulaca eruca",-65.5775,-34.022222,"ARG","NA","2248045546","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",1957,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",160,91,372,5330.200684,273.815765,29,244.117447,231,81,231,81,701.965698,110,16,61.815777,329,49,329,49,16,NA
"Portulaca L.",150.93,-33.93,"AUS","NA","2829096177","Portulacaceae","Portulaca","GENUS","Portulaca L.","1000",1989,"PRESERVED_SPECIMEN","NSW","NSW","NA","Portulaca",178,61.883175,366.883179,3721.751709,260,92.107094,167.883179,215.107086,149,227.107086,123.116829,846.651611,100.726295,42.116825,25.883175,297.145355,132.350479,286.088043,169.570068,17.8,NA
"Portulaca L.",150.93,-33.93,"AUS","NA","2827544320","Portulacaceae","Portulaca","GENUS","Portulaca L.","1000",1989,"PRESERVED_SPECIMEN","NSW","NSW","NA","Portulaca",178,61.883175,366.883179,3721.751709,260,92.107094,167.883179,215.107086,149,227.107086,123.116829,846.651611,100.726295,42.116825,25.883175,297.145355,132.350479,286.088043,169.570068,17.8,NA
"Portulaca L.",150.93,-33.93,"AUS","NA","2438367286","Portulacaceae","Portulaca","GENUS","Portulaca L.","1000",1989,"PRESERVED_SPECIMEN","NSW","NSW","NA","Portulaca",178,61.883175,366.883179,3721.751709,260,92.107094,167.883179,215.107086,149,227.107086,123.116829,846.651611,100.726295,42.116825,25.883175,297.145355,132.350479,286.088043,169.570068,17.8,NA
"Portulaca wightiana",24.125,-33.625,"ZAF","NA","462186026","Portulacaceae","Portulaca","SPECIES","Portulaca collina Dinter","NULL",1985,"PRESERVED_SPECIMEN","SANBI","PRECIS","NA","Portulaca",153.11644,111,495,3640.466797,261.59967,37.11644,224.516693,106.849426,197.849426,202.59967,100.849426,532.983948,60.467171,35.216438,17.017183,167.900955,107.399559,111.649315,137.416534,15.311644,NA
"Portulaca eruca",-65.035833,-33.173889,"ARG","NA","2248047856","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",2006,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",138.624115,89,375.1409,5102.655762,247.624115,10.624108,237,193.45578,62.209087,205.209091,62.209087,829.220337,144.399185,11.650014,68.216759,408.254913,38.30003,407.19754,38.30003,13.8624115,NA
